DecYear,Lat,BGFlx
"2008.7925"," 29.00","3.06e-08"
"2008.7964","-25.87","6.77e-08"
"2008.7964","-26.12","2.96e-08"
"2008.8374"," 34.75","1.89e-08"
"2008.8374"," 34.56","2.06e-08"
"2008.8375"," 35.00","2.87e-08"
"2008.8376"," 35.12","2.28e-07"
"2008.8377"," 34.87","7.21e-08"
"2008.8377"," 34.23","1.54e-08"
"2008.8378"," 35.32","3.64e-08"
"2008.8384"," 36.50","4.87e-08"
"2008.8392"," 35.92","2.18e-08"
"2008.8401"," 36.23","1.64e-06"
"2008.8414"," 36.95","1.98e-07"
"2008.8414"," 37.88","6.96e-08"
"2008.8417"," 36.31","4.65e-08"
"2008.8419"," 37.13","4.45e-08"
"2008.8419"," 37.13","1.04e-06"
"2008.8470"," 36.73","7.96e-08"
"2008.8603"," 33.65","2.87e-07"
"2008.8603"," 34.24","1.34e-08"
"2008.8605"," 33.47","2.58e-08"
"2008.8618"," 33.84","3.73e-08"
"2008.8634"," 35.40","7.15e-08"
"2008.9409","-24.16","2.25e-08"
"2008.9432","-27.58","2.32e-07"
"2008.9436","-24.25","2.46e-07"
"2008.9439","-24.43","1.04e-07"
"2008.9440","-24.10","9.57e-07"
"2008.9441","-26.58","2.10e-08"
"2008.9442","-24.87","4.33e-08"
"2008.9449","-25.27","1.77e-08"
"2008.9457","-25.86","3.60e-08"
"2008.9457","-24.02","3.03e-08"
"2008.9461","-25.53","2.89e-08"
"2009.0230"," 18.86","2.50e-08"
"2009.0245"," 19.59","3.95e-08"
"2009.0248"," 19.79","1.21e-07"
"2009.0248"," 20.19","2.04e-08"
"2009.0250"," 19.02","9.03e-08"
"2009.0255"," 20.01","5.67e-08"
"2009.0263"," 19.97","3.51e-08"
"2009.0271"," 19.95","5.67e-08"
"2009.1169"," -5.57","3.05e-07"
"2009.1185"," -4.82","9.91e-08"
"2009.1570"," 27.68","2.88e-08"
"2009.2303"," 24.02","1.78e-07"
"2009.3277"," -8.28","5.21e-08"
"2009.3336"," -7.84","1.17e-08"
"2009.3509"," 14.62","1.31e-07"
"2009.3510"," 17.23","2.19e-08"
"2009.3538"," 18.31","1.41e-07"
"2009.3548"," 16.13","1.37e-08"
"2009.3651"," 17.59","5.71e-08"
"2009.4146"," 26.02","1.08e-07"
"2009.4146"," 26.36","3.99e-08"
"2009.4150"," 26.05","2.42e-08"
"2009.4151"," 26.32","4.76e-08"
"2009.4172"," 25.51","9.37e-08"
"2009.4192"," 24.87","7.68e-08"
"2009.4192"," 24.83","4.93e-08"
"2009.4201"," 24.99","2.29e-08"
"2009.4278"," 25.97","2.51e-07"
"2009.5039","-25.45","3.33e-08"
"2009.5040","-25.92","4.07e-08"
"2009.5040","-25.72","3.11e-08"
"2009.5040","-25.80","8.77e-08"
"2009.5042","-25.23","1.36e-07"
"2009.5042","-25.47","6.68e-08"
"2009.5042","-26.43","2.72e-08"
"2009.5044","-25.94","4.91e-07"
"2009.5044","-26.45","1.54e-07"
"2009.5055","-25.14","1.91e-07"
"2009.5055","-25.23","3.51e-08"
"2009.5055","-25.08","7.03e-08"
"2009.5057","-26.44","7.99e-08"
"2009.5057","-25.24","8.99e-08"
"2009.5057","-25.76","3.82e-07"
"2009.5058","-24.91","4.54e-07"
"2009.5066","-27.07","4.41e-08"
"2009.5067","-25.96","6.40e-08"
"2009.5070","-26.36","1.02e-07"
"2009.5070","-25.62","3.57e-07"
"2009.5071","-25.55","2.57e-08"
"2009.5071","-25.58","1.39e-07"
"2009.5071","-26.33","1.45e-08"
"2009.5071","-26.53","2.27e-08"
"2009.5077","-26.03","2.83e-06"
"2009.5082","  1.40","5.58e-08"
"2009.5082","-25.38","2.97e-08"
"2009.5085","-26.19","1.91e-08"
"2009.5088","-25.14","6.21e-08"
"2009.5099","-24.43","3.43e-08"
"2009.5099","-25.04","5.67e-08"
"2009.5101","-25.51","1.15e-07"
"2009.5103","-25.15","4.22e-08"
"2009.5115","-25.01","1.03e-06"
"2009.5152","-25.82","2.56e-08"
"2009.5157","-26.24","4.31e-07"
"2009.6869"," 17.19","2.21e-07"
"2009.7261","-30.28","4.27e-08"
"2009.7316","-32.80","1.93e-06"
"2009.7325","-32.41","6.69e-08"
"2009.7371","-32.20","4.20e-08"
"2009.7476"," 22.70","8.14e-08"
"2009.8132"," 15.36","1.28e-07"
"2009.8134"," 14.46","1.44e-08"
"2009.8134"," 13.98","9.64e-08"
"2009.8135"," 14.38","1.02e-08"
"2009.8135"," 14.57","2.42e-08"
"2009.8138"," 15.44","2.68e-08"
"2009.8140"," 15.58","1.54e-06"
"2009.8142"," 14.55","4.87e-08"
"2009.8143"," 15.87","2.15e-07"
"2009.8144"," 15.52","1.50e-07"
"2009.8147"," 15.70","1.47e-08"
"2009.8147"," 14.90","6.06e-07"
"2009.8152"," 16.88","1.51e-07"
"2009.8171"," 15.46","6.89e-08"
"2009.8172"," 15.50","7.09e-08"
"2009.8173"," 14.23","6.63e-08"
"2009.8175"," 14.33","1.09e-07"
"2009.8180"," 14.85","3.19e-08"
"2009.8180"," 15.35","3.85e-08"
"2009.8182"," 15.11","7.67e-08"
"2009.8183"," 17.41","2.91e-08"
"2009.8184"," 17.28","9.70e-08"
"2009.8184"," 16.01","1.35e-07"
"2009.8184"," 16.56","1.16e-07"
"2009.8185"," 17.15","2.13e-07"
